date,predit_result,
2027-09-20,14.200261,
2027-09-27,13.7555275,
2027-10-04,13.252337,
2027-10-11,13.735064,
2027-10-18,12.90079,
2027-10-25,11.8908825,
2027-11-01,11.371072,
2027-11-08,10.885908,
2027-11-15,11.4387665,
2027-11-22,10.180327,
2027-11-29,5.655789,
2027-12-06,5.6698613,
2027-12-13,5.6517053,
2027-12-20,5.7481,
2027-12-27,5.713149,
2028-01-03,5.6852875,
2028-01-10,5.6643834,
2028-01-17,5.5545564,
2028-01-24,5.579196,
2028-01-31,5.5686793,
2028-02-07,5.6111627,
2028-02-14,5.746221,
2028-02-21,5.9100385,
2028-02-28,6.3040104,
2028-03-06,6.080327,
2028-03-13,5.605554,
2028-03-20,5.3378406,
2028-03-27,4.8979125,
2028-04-03,4.912841,
2028-04-10,4.952624,
2028-04-17,4.945693,
2028-04-24,5.1200294,
2028-05-01,5.1961017,
2028-05-08,5.4441915,
2028-05-15,5.6632776,
2028-05-22,7.505045,
2028-05-29,7.364585,
2028-06-05,7.408894,
2028-06-12,7.3338304,
2028-06-19,7.7126164,
2028-06-26,7.3456674,
2028-07-03,7.240411,
2028-07-10,7.102393,
2028-07-17,7.0227027,
2028-07-24,7.1417146,
2028-07-31,7.061701,
2028-08-07,7.692981,
2028-08-14,8.107488,
2028-08-21,10.593856,
2028-08-28,10.206478,
2028-09-04,9.902555,
2028-09-11,10.328165,
2028-09-18,11.079055,
2028-09-25,10.774242,
2028-10-02,10.533511,
2028-10-09,11.021405,
2028-10-16,13.161404,
2028-10-23,22.954401,
2028-10-30,22.008762,
2028-11-06,21.530762,
2028-11-13,23.239162,
2028-11-20,32.86988,
2028-11-27,39.066845,
2028-12-04,38.784843,
2028-12-11,38.767345,
2028-12-18,39.556664,
2028-12-25,40.007267,
2029-01-01,40.126644,
2029-01-08,39.84949,
2029-01-15,38.60682,
2029-01-22,20.940569,
2029-01-29,20.760508,
2029-02-05,20.52037,
2029-02-12,20.182098,
2029-02-19,16.416792,
2029-02-26,10.768993,
2029-03-05,10.56525,
2029-03-12,10.132592,
2029-03-19,9.497669,
2029-03-26,9.703484,
2029-04-02,9.608297,
2029-04-09,9.358001,
2029-04-16,9.257726,
2029-04-23,8.446888,
2029-04-30,8.292065,
2029-05-07,8.207891,
2029-05-14,7.8994794,
2029-05-21,7.6434846,
2029-05-28,7.532214,
2029-06-04,7.5741906,
2029-06-11,6.896107,
2029-06-18,7.0427957,
2029-06-25,5.7430854,
2029-07-02,5.714614,
2029-07-09,5.673083,
2029-07-16,5.662588,
2029-07-23,5.3716273,
2029-07-30,5.390945,
2029-08-06,5.7681236,
2029-08-13,6.1129074,
2029-08-20,7.9469256,
2029-08-27,7.8665457,
2029-09-03,7.959969,
2029-09-10,7.882683,
2029-09-17,8.379975,
2029-09-24,8.258575,
2029-10-01,8.348978,
2029-10-08,10.87022,
2029-10-15,16.713512,
2029-10-22,35.214157,
2029-10-29,34.464367,
2029-11-05,33.67469,
2029-11-12,34.30986,
2029-11-19,31.617945,
2029-11-26,15.064821,
2029-12-03,14.242582,
2029-12-10,13.515305,
2029-12-17,14.395011,
2029-12-24,15.794201,
2029-12-31,14.892587,
2030-01-07,14.094672,
2030-01-14,13.656969,
2030-01-21,13.162498,
2030-01-28,12.574276,
2030-02-04,12.152559,
2030-02-11,13.443332,
2030-02-18,15.213425,
2030-02-25,8.287694,
2030-03-04,8.092365,
2030-03-11,7.4821033,
2030-03-18,7.0188856,
2030-03-25,5.872594,
2030-04-01,5.8288436,
2030-04-08,6.0169325,
2030-04-15,5.8355513,
2030-04-22,5.1415234,
2030-04-29,5.138636,
2030-05-06,5.1357126,
2030-05-13,5.133421,
2030-05-20,5.3975015,
2030-05-27,5.3704934,
2030-06-03,5.309841,
2030-06-10,5.168349,
2030-06-17,5.1808896,
2030-06-24,4.8379283,
2030-07-01,5.029465,
2030-07-08,5.317399,
2030-07-15,5.694976,
2030-07-22,8.447418,
2030-07-29,8.210342,
2030-08-05,7.454209,
2030-08-12,7.130774,
2030-08-19,5.339731,
2030-08-26,5.318288,
2030-09-02,5.2991066,
2030-09-09,5.3011317,
2030-09-16,5.279687,
2030-09-23,5.339695,
2030-09-30,5.3152404,
2030-10-07,5.2418323,
2030-10-14,5.171658,
2030-10-21,5.024254,
2030-10-28,5.0245547,
2030-11-04,5.027203,
2030-11-11,5.04569,
2030-11-18,5.131451,
2030-11-25,5.0519776,
2030-12-02,5.069454,
2030-12-09,5.084221,
2030-12-16,5.087668,
2030-12-23,5.0952005,
2030-12-30,5.1089344,
2031-01-06,5.166546,
2031-01-13,5.2261343,
2031-01-20,5.2384586,
2031-01-27,5.254528,
2031-02-03,5.2612224,
2031-02-10,5.3255973,
2031-02-17,5.4010086,
2031-02-24,6.2245975,
2031-03-03,6.1482763,
2031-03-10,5.91967,
2031-03-17,5.752656,
2031-03-24,5.031971,
2031-03-31,5.0471187,
2031-04-07,5.068063,
2031-04-14,5.2106752,
2031-04-21,5.4310856,
2031-04-28,5.683929,
2031-05-05,5.6845603,
2031-05-12,5.5378175,
2031-05-19,5.347835,
2031-05-26,5.2036605,
2031-06-02,5.22804,
2031-06-09,5.118588,
2031-06-16,4.971035,
2031-06-23,4.861628,
2031-06-30,4.9508295,
2031-07-07,5.087064,
2031-07-14,5.311438,
2031-07-21,6.5254116,
2031-07-28,6.5056086,
2031-08-04,6.5151057,
2031-08-11,6.40971,
2031-08-18,5.971669,
2031-08-25,5.9535966,
2031-09-01,5.9382143,
2031-09-08,5.9685893,
2031-09-15,5.9491606,
2031-09-22,6.005086,
2031-09-29,5.968457,
2031-10-06,5.9819207,
